cell_id,archetype_id,survey_fold,sensitivity_f,replicate,class,completed,completion_status,return_code,severe_count,fatal_count,heating_kwh,runtime_s,marker_psy,marker_inside_hb,marker_calchb,idf_sha256,error
es__ES.ME.AB.06.Gen.ReEx.001.001__f000,ES.ME.AB.06.Gen.ReEx.001.001,es,0.0,3,ATTEMPTED,True,COMPLETED,0,0,0,1760354.2698609754,4.607,True,False,False,b214bea3efabec2bb8d958e2bf92e929679d4ceacfbc9f12893d31853af1f27e,
es__ES.ME.AB.06.Gen.ReEx.001.001__f015,ES.ME.AB.06.Gen.ReEx.001.001,es,0.15,1,ATTEMPTED,True,COMPLETED,0,0,0,1760083.2960034062,4.539,True,False,False,d56d6152ccbe4b9e0cef5194342f6d21d4d5efc1b8d4399278d22385b81bdf6c,
es__ES.ME.AB.06.Gen.ReEx.001.001__f015,ES.ME.AB.06.Gen.ReEx.001.001,es,0.15,2,ATTEMPTED,True,COMPLETED,0,0,0,1760083.2960034062,4.688,True,False,False,73b02e87d89e3cad8da1a275a2c56e86ce6415090fb5419b5db1ec6642e6bdb1,
es__ES.ME.AB.06.Gen.ReEx.001.001__f015,ES.ME.AB.06.Gen.ReEx.001.001,es,0.15,3,ATTEMPTED,True,COMPLETED,0,0,0,1759193.8314329523,4.731,True,False,False,4fb8f6ee33e224a204f207eb7ca6f7c22150df8755e9679c195e43324687935b,
es__ES.ME.AB.06.Gen.ReEx.001.001__f030,ES.ME.AB.06.Gen.ReEx.001.001,es,0.3,1,ATTEMPTED,True,COMPLETED,0,0,0,1759831.0475974185,4.572,True,False,False,0f2f2a88d42d13b100137287f19cb9a5e50d75a4c07d03a20c2fb4648d773afd,
es__ES.ME.AB.06.Gen.ReEx.001.001__f030,ES.ME.AB.06.Gen.ReEx.001.001,es,0.3,2,ATTEMPTED,True,COMPLETED,0,0,0,1759831.0475974185,4.664,True,False,False,ec404e23dfa99e3a5196c592ff43b418258791c57d0759a79568c5dd11798479,
es__ES.ME.AB.06.Gen.ReEx.001.001__f030,ES.ME.AB.06.Gen.ReEx.001.001,es,0.3,3,ATTEMPTED,True,COMPLETED,0,0,0,1759831.0475974185,4.683,True,False,False,1ecf859fdab2a2a7b31bb9ea4eda922128b2974c2b7d8493cece4578899a4f92,
es__ES.ME.AB.06.Gen.ReEx.001.001__f050,ES.ME.AB.06.Gen.ReEx.001.001,es,0.5,1,ATTEMPTED,True,COMPLETED,0,0,0,1759527.06926504,4.857,True,False,False,41f9d6750ea720a5aadce5f3ec9383737729f0f3e3303d85f8456f679baaaf30,
es__ES.ME.AB.06.Gen.ReEx.001.001__f050,ES.ME.AB.06.Gen.ReEx.001.001,es,0.5,2,ATTEMPTED,True,COMPLETED,0,0,0,1759527.06926504,4.672,True,False,False,6bd0f3a492e16965c7537233ec1f99cc902c6e8b0cdd5406fc1c963b5dfb1c7b,
es__ES.ME.AB.06.Gen.ReEx.001.001__f050,ES.ME.AB.06.Gen.ReEx.001.001,es,0.5,3,ATTEMPTED,True,COMPLETED,0,0,0,1759527.06926504,4.6,True,False,False,d0ff00d5c24a54178510f4fb940a50e9ca1e9bd0c0c3d1db482f5d22ba754af1,
