building_id,n_surfaces_checked,n_defective_surfaces,first_defect_kind,first_defect_angle_deg,first_defect_edge_m,defect_on_footprint_ring,has_interzone_partner
way/428478247,28,0,,,,,
way/428478249,113,4,collinear,179.988091,6.2623977,Y,N
way/428478590,92,0,,,,,
way/432405440,51,0,,,,,
way/432405443,24,0,,,,,
way/432405444,12,0,,,,,
way/432405449,30,0,,,,,
way/432405451,42,0,,,,,
way/420409352,7,0,,,,,
way/420411245,30,0,,,,,
way/420411246,16,2,collinear,179.985872,2.8007092,Y,N
way/420411247,9,0,,,,,
way/420411248,7,0,,,,,
way/420411249,36,0,,,,,
way/420411321,39,0,,,,,
way/420411322,32,0,,,,,
way/432411821,40,0,,,,,
way/432411823,36,0,,,,,
way/432411824,13,2,collinear,179.991327,3.10741178,Y,N
way/432411825,8,0,,,,,
way/432412733,8,2,collinear,179.924027,3.48343049,Y,N
way/432412734,18,0,,,,,
way/432412735,18,0,,,,,
way/432412736,60,0,,,,,
way/420411323,30,0,,,,,
way/420411324,24,0,,,,,
way/428475104,55,0,,,,,
way/428475105,24,0,,,,,
way/428478237,87,2,collinear,179.960363,2.78657227,Y,N
way/428478238,80,0,,,,,
way/428478241,11,0,,,,,
way/428478245,30,4,collinear,179.922906,6.75014859,Y,N
way/403642587,18,0,,,,,
way/403642588,42,0,,,,,
way/403642589,78,6,collinear,179.985094,6.36991052,Y,N
way/403642590,47,2,collinear,179.936777,5.48536024,Y,N
way/403642591,18,0,,,,,
way/403642592,16,0,,,,,
way/403642593,48,0,,,,,
way/403642594,30,0,,,,,
way/403856094,18,0,,,,,
way/416627786,10,2,collinear,179.981316,9.44785399,Y,N
way/420409335,51,0,,,,,
way/420409339,18,0,,,,,
way/420409343,39,0,,,,,
way/420409346,24,0,,,,,
way/420409347,97,41,proximity,,0.001,N,N
way/420409350,14,0,,,,,
way/432411464,20,0,,,,,
way/432411466,13,2,collinear,179.942799,11.70501986,Y,N
way/432411472,130,2,collinear,179.989714,3.37653698,Y,N
way/432411814,36,0,,,,,
way/432411815,22,0,,,,,
way/432411816,9,2,collinear,179.960159,2.88674713,Y,N
way/432411817,8,2,collinear,179.99712,2.9582265,Y,N
way/432411820,57,0,,,,,
way/391276762,105,0,,,,,
way/391276763,67,0,,,,,
way/391276764,75,0,,,,,
way/391276765,11,2,collinear,179.948973,3.99064619,Y,N
way/391276766,56,0,,,,,
way/391276767,21,0,,,,,
way/391276768,11,2,collinear,179.996563,14.16867379,Y,N
way/391279228,56,0,,,,,
way/432566515,18,0,,,,,
way/432567161,114,0,,,,,
way/432567162,22,0,,,,,
way/432567163,9,2,collinear,179.963597,1.14010614,Y,N
way/432567164,45,0,,,,,
way/432567165,40,0,,,,,
way/432737636,40,0,,,,,
way/432737999,40,0,,,,,
way/432738002,12,0,,,,,
way/432738006,24,0,,,,,
way/432738008,60,2,collinear,179.923265,2.50166025,Y,N
way/432738019,40,0,,,,,
way/432864101,42,0,,,,,
way/432864102,59,2,collinear,179.950019,0.50700099,Y,N
way/432864103,12,0,,,,,
way/432864104,18,0,,,,,
way/432405458,9,2,collinear,179.94603,4.17070797,Y,N
way/432405459,44,0,,,,,
way/432405737,66,12,collinear,179.928085,28.14316125,Y,N
way/432411451,28,0,,,,,
way/432411455,45,0,,,,,
way/432411457,82,0,,,,,
way/432411459,40,0,,,,,
way/432411462,35,0,,,,,
way/432412737,35,0,,,,,
way/432412738,14,2,collinear,179.977736,5.11100088,Y,N
way/432566224,72,0,,,,,
way/432566226,75,0,,,,,
way/432566227,55,0,,,,,
way/432566510,56,0,,,,,
way/432566513,45,0,,,,,
way/432566514,28,0,,,,,
way/432865817,12,0,,,,,
way/432865818,18,0,,,,,
way/432865819,8,2,collinear,179.917519,2.88021805,Y,N
way/432865820,8,2,collinear,179.992503,3.45486338,Y,N
way/432865821,30,0,,,,,
way/432866211,36,0,,,,,
way/432866212,9,0,,,,,
way/432866213,8,0,,,,,
way/432864105,32,0,,,,,
way/432864406,24,0,,,,,
way/432864412,26,2,collinear,179.959559,1.70233046,Y,N
way/432864413,14,0,,,,,
way/432864414,24,0,,,,,
way/432864416,65,0,,,,,
way/432864417,50,0,,,,,
way/432864418,13,2,collinear,179.992105,5.47719636,Y,N
way/432867091,7,0,,,,,
way/432867093,30,0,,,,,
way/432867095,60,0,,,,,
way/432867096,75,0,,,,,
way/432867099,32,0,,,,,
way/433014080,24,0,,,,,
way/433014081,33,0,,,,,
way/433014082,24,0,,,,,
way/432864638,21,0,,,,,
way/432864641,48,0,,,,,
way/432864978,60,0,,,,,
way/432864979,90,0,,,,,
way/432864980,50,0,,,,,
